generation,best_fitness,avg_fitness,worst_fitness
533,15.6667,9.6233,3.6667
534,14.6667,9.42,3.6667
535,17.0,10.2867,3.3333
536,15.6667,9.7433,5.0
537,16.0,9.69,3.6667
538,17.0,9.7567,3.0
539,15.6667,9.9233,4.3333
540,15.0,9.2733,3.6667
541,16.3333,9.2067,3.6667
542,15.6667,9.87,3.6667
543,14.6667,9.82,4.6667
544,15.3333,10.14,4.6667
545,15.3333,9.8667,4.0
546,16.3333,10.04,4.0
547,16.0,9.63,4.6667
548,17.3333,9.98,4.6667
549,15.0,8.9933,3.3333
550,15.3333,9.0067,3.6667
551,18.6667,9.6867,3.6667
552,17.3333,10.0267,4.6667
553,15.6667,9.8633,4.0
554,17.0,9.4733,3.6667
555,18.3333,9.2333,4.3333
556,17.6667,9.35,3.0
557,17.0,9.3,4.0
558,20.6667,9.85,4.6667
559,17.3333,10.0467,4.6667
560,16.3333,9.7967,3.3333
561,16.3333,9.8467,4.0
562,16.6667,9.94,3.6667
563,17.3333,10.2167,4.3333
564,16.0,9.9067,4.3333
565,16.0,9.33,3.0
566,14.0,9.46,5.0
567,15.6667,9.8067,3.6667
568,16.3333,9.7733,4.3333
569,16.6667,9.97,4.3333
570,17.3333,9.78,4.3333
571,16.6667,9.8267,3.6667
572,14.0,9.37,3.6667
573,17.6667,9.85,4.0
574,17.0,9.5967,4.3333
575,17.3333,9.47,3.6667
576,16.0,9.22,3.3333
577,17.0,9.6633,3.3333
578,18.6667,10.1867,5.0
579,15.3333,9.8867,4.0
580,17.0,10.32,3.6667
581,14.6667,9.6067,4.6667
582,17.6667,10.0733,3.6667
583,16.0,9.8333,5.0
584,15.6667,10.1633,4.6667
585,17.3333,9.6967,3.3333
586,15.0,9.86,4.6667
587,16.6667,9.8467,5.0
588,18.0,9.92,4.6667
589,17.6667,10.0967,4.6667
590,15.6667,9.5367,3.6667
591,15.0,9.7467,3.3333
592,15.0,10.1467,4.0
593,15.3333,9.63,3.6667
594,19.6667,10.2,4.0
595,16.0,9.84,3.3333
596,15.3333,9.41,4.0
597,19.0,9.63,4.0
598,16.6667,9.6033,3.6667
599,14.3333,9.9733,3.6667
600,19.3333,9.9733,4.0
601,15.3333,10.08,3.3333
602,18.0,10.25,3.6667
603,15.3333,9.91,4.0
604,15.3333,9.7633,4.0
605,16.6667,9.9667,4.6667
606,17.6667,9.64,3.3333
607,17.3333,10.06,4.6667
608,17.6667,10.2467,4.0
609,15.6667,10.0167,4.0
610,15.6667,9.7667,4.3333
611,17.0,9.65,3.6667
612,17.0,10.23,4.0
613,15.0,9.8967,4.0
614,17.0,9.83,4.6667
615,17.6667,10.1833,4.6667
616,17.6667,10.4567,4.6667
617,17.0,9.7767,5.0
618,17.0,10.2067,3.6667
619,17.3333,10.22,4.0
620,17.0,10.16,3.6667
621,15.3333,10.0567,4.6667
622,16.3333,10.0,4.3333
623,15.0,10.33,3.6667
624,16.3333,10.47,4.3333
625,16.3333,9.7567,4.3333
626,15.0,9.7867,4.0
627,15.3333,10.1767,4.3333
628,16.3333,9.95,3.6667
629,14.6667,9.9967,5.0
630,18.3333,10.3967,3.3333
631,16.6667,10.42,5.0
632,16.6667,9.5667,4.3333
633,16.0,9.8233,4.0
634,16.6667,9.88,4.6667
635,16.6667,10.2967,4.3333
636,17.0,9.9667,4.6667
637,16.6667,9.8367,4.0
638,16.0,10.5067,4.3333
639,16.6667,10.0167,3.6667
640,16.6667,9.9567,3.6667
641,15.6667,10.15,3.6667
642,15.0,9.98,5.0
643,15.3333,9.77,3.6667
644,17.6667,10.2967,4.0
645,16.0,10.2367,4.3333
646,14.6667,9.7633,3.3333
647,15.0,9.9233,4.3333
648,19.0,10.1267,4.6667
649,18.0,10.2633,5.0
650,15.6667,10.1233,5.3333
651,15.6667,9.64,4.3333
652,16.0,10.23,4.0
653,17.3333,9.8,3.6667
654,15.6667,10.23,3.6667
655,17.0,9.7433,4.0
656,16.0,10.2733,4.0
657,19.6667,9.8433,4.6667
658,16.3333,9.8867,4.0
659,14.6667,9.7067,4.3333
660,19.0,10.41,3.3333
661,17.6667,10.0667,5.0
662,15.0,9.7167,4.0
663,18.0,9.7533,4.0
664,17.6667,10.0333,4.0
665,19.0,10.0433,4.0
666,14.6667,9.8067,5.0
667,16.0,10.1933,3.6667
668,16.3333,10.1567,4.0
669,15.6667,10.4667,4.6667
670,16.3333,10.08,4.3333
671,16.0,10.02,4.6667
672,15.6667,9.5533,4.0
673,20.0,9.9033,4.0
674,15.6667,9.8733,3.6667
675,16.6667,9.63,4.3333
676,15.0,9.8167,4.0
677,16.6667,9.91,4.3333
678,16.6667,9.89,4.3333
679,16.6667,10.52,4.3333
680,14.3333,9.8167,4.6667
681,17.3333,10.13,4.3333
682,18.3333,9.6733,4.0
683,16.3333,10.0567,3.6667
684,15.6667,9.93,4.3333
685,16.3333,9.79,4.0
686,15.6667,9.8467,3.0
687,16.6667,9.73,4.0
688,16.6667,9.9567,4.6667
689,16.0,10.0233,4.3333
690,18.3333,9.8733,3.6667
691,17.6667,10.6367,4.3333
692,19.6667,9.77,4.0
693,15.3333,9.4767,4.3333
694,16.3333,9.9467,4.3333
695,16.3333,10.1,3.6667
696,19.0,10.4,4.0
697,17.3333,10.4267,3.6667
698,15.6667,10.27,3.6667
699,19.3333,10.55,4.6667
700,17.6667,10.59,4.3333
701,17.3333,10.0367,4.0
702,15.6667,10.5133,4.3333
703,16.3333,10.16,4.0
704,18.0,10.68,3.6667
705,16.3333,10.5933,4.3333
706,16.3333,10.59,4.0
707,17.0,10.23,4.6667
708,16.3333,10.0767,4.3333
709,19.0,10.42,4.3333
710,16.3333,10.14,4.3333
711,16.3333,10.78,6.0
712,16.3333,10.49,3.3333
713,16.6667,10.4267,3.6667
714,17.3333,10.5567,3.0
715,19.0,10.26,4.3333
716,17.3333,10.2567,3.6667
717,18.6667,10.3367,3.6667
718,17.3333,10.1433,3.6667
719,16.3333,10.6233,3.6667
720,15.3333,10.1333,4.3333
721,17.0,10.4,5.0
722,19.3333,10.32,4.3333
723,22.3333,10.4267,4.3333
724,17.3333,10.2667,3.6667
725,20.6667,9.98,4.3333
726,18.0,10.3767,4.6667
727,16.6667,9.64,3.6667
728,15.6667,9.66,4.3333
729,16.3333,9.9933,4.0
730,17.3333,9.8233,4.3333
731,16.6667,10.4767,4.6667
732,17.0,10.6533,3.3333
733,16.3333,10.37,4.0
734,16.6667,10.31,3.6667
735,19.6667,10.26,3.3333
736,17.3333,9.9967,4.0
737,19.6667,10.51,4.3333
738,17.6667,10.5433,4.6667
739,18.3333,10.37,4.0
740,16.6667,10.0233,4.3333
741,18.6667,10.1,4.6667
742,17.6667,10.3,4.0
743,16.0,9.6367,3.3333
744,16.3333,9.91,4.0
745,18.3333,9.9733,3.6667
746,17.3333,10.0667,4.6667
747,15.6667,9.9367,4.0
748,15.3333,10.04,3.3333
749,17.0,10.2633,4.0
750,17.6667,9.73,4.0
751,17.3333,9.9033,4.6667
752,17.3333,10.1433,3.3333
753,16.6667,9.69,4.6667
754,19.3333,9.8133,4.0
